height_above_rim_m,vx_m_s,delay_s,fall_s,drift_x_m
0.7,0.0,0.0,0.3778363002900991,0.0
0.7,0.0,0.1,0.3778363002900991,0.0
0.7,0.0,0.2,0.3778363002900991,0.0
0.7,0.1,0.0,0.3778363002900991,0.03778363002900992
0.7,0.1,0.1,0.3778363002900991,0.04778363002900992
0.7,0.1,0.2,0.3778363002900991,0.05778363002900992
0.7,0.25,0.0,0.3778363002900991,0.09445907507252478
0.7,0.25,0.1,0.3778363002900991,0.11945907507252479
0.7,0.25,0.2,0.3778363002900991,0.14445907507252478
0.7,0.5,0.0,0.3778363002900991,0.18891815014504956
0.7,0.5,0.1,0.3778363002900991,0.23891815014504958
0.7,0.5,0.2,0.3778363002900991,0.28891815014504957
1.2,0.0,0.0,0.4947038418232699,0.0
1.2,0.0,0.1,0.4947038418232699,0.0
1.2,0.0,0.2,0.4947038418232699,0.0
1.2,0.1,0.0,0.4947038418232699,0.04947038418232699
1.2,0.1,0.1,0.4947038418232699,0.059470384182326995
1.2,0.1,0.2,0.4947038418232699,0.069470384182327
1.2,0.25,0.0,0.4947038418232699,0.12367596045581747
1.2,0.25,0.1,0.4947038418232699,0.14867596045581746
1.2,0.25,0.2,0.4947038418232699,0.17367596045581746
1.2,0.5,0.0,0.4947038418232699,0.24735192091163494
1.2,0.5,0.1,0.4947038418232699,0.2973519209116349
1.2,0.5,0.2,0.4947038418232699,0.3473519209116349
1.7,0.0,0.0,0.5888153466176775,0.0
1.7,0.0,0.1,0.5888153466176775,0.0
1.7,0.0,0.2,0.5888153466176775,0.0
1.7,0.1,0.0,0.5888153466176775,0.05888153466176776
1.7,0.1,0.1,0.5888153466176775,0.06888153466176776
1.7,0.1,0.2,0.5888153466176775,0.07888153466176775
1.7,0.25,0.0,0.5888153466176775,0.14720383665441938
1.7,0.25,0.1,0.5888153466176775,0.17220383665441938
1.7,0.25,0.2,0.5888153466176775,0.19720383665441937
1.7,0.5,0.0,0.5888153466176775,0.29440767330883877
1.7,0.5,0.1,0.5888153466176775,0.34440767330883876
1.7,0.5,0.2,0.5888153466176775,0.39440767330883875
