policy,outcome,hit,error_m,landing_xy,release_xy,decision_s,release_s,fall_s,seed,blocked_reason,return,episode_s
random,miss,False,0.22421921615276338,"[0.20860397852464435, 0.08221093014830413]","[0.2543243017599428, 0.11548686034115384]",2.9000000000000004,3.036116214992856,0.4577009825407527,84000000,,-16.624232400511154,3.036116214992856
random,miss,False,0.10338967669988455,"[0.08562718107288182, -0.05794317138040132]","[0.14774064188441932, -0.09064408731357924]",2.1,2.215372306959242,0.5063856562240971,84000001,,-7.055041478841811,2.215372306959242
random,miss,False,0.13308104155457604,"[-0.07370866791593811, -0.11080431352302467]","[-0.16995674257419935, -0.13639494577179934]",2.8000000000000003,2.976464647602689,0.4850938233654199,84000002,,-8.891849377810841,2.976464647602689
random,miss,False,0.08673051367060239,"[0.050961834344442236, 0.07017886748741516]","[0.09027700145426386, 0.048563088456707496]",3.2,3.3913133329633833,0.4968550116757089,84000003,,-6.580398106879657,3.3913133329633833
random,miss,False,0.7680536505228698,"[0.510131412588215, 0.5741710128282852]","[0.6017648789278167, 0.658961715821488]",0.2,0.4174385817476563,0.45608901182931666,84000004,,-16.05,0.4174385817476563
random,miss,False,0.19196042936913044,"[0.19055792888841233, 0.02316208499552016]","[0.2750313743401789, 0.06221702707921158]",2.8000000000000003,2.950934331753529,0.49769931852460497,84000005,,-13.421610992563531,2.950934331753529
random,miss,False,0.14013356227722404,"[-0.08560228129980915, 0.11094892839848872]","[-0.119448238896581, 0.10691743639598542]",3.3000000000000003,3.516496126715695,0.4538571055062124,84000006,,-9.472908941184526,3.516496126715695
random,miss,False,0.1533117250210586,"[-0.14086751456941488, 0.06050477971175813]","[-0.178365018200986, 0.1294742644346434]",2.7,2.910698502665874,0.5180783135438549,84000007,,-10.238191722824304,2.910698502665874
random,hit,True,0.0027434169738439476,"[-0.0027079544858815557, 0.0004396807873549187]","[0.046002050222374594, -0.02016744912538491]",3.7,3.8600267175398777,0.5289524301542182,84000008,,7.073218618534348,3.8600267175398777
random,miss,False,1.301275960068576,"[0.8877302246485786, -0.951448460242476]","[0.9678697347112486, -1.025422081645707]",0.30000000000000004,0.411048870205299,0.4504811364047068,84000009,,-16.075,0.411048870205299
random,miss,False,0.18383922174401712,"[0.10387808801298383, -0.1516779558215784]","[0.12142008411420253, -0.2615481807269595]",1.3,1.43699755931532,0.49507077581009007,84000010,,-12.324256674898436,1.43699755931532
random,miss,False,0.1000805190536521,"[-0.015545154767190678, -0.0988658609294053]","[-0.009109955090655597, -0.16603444589638305]",3.3000000000000003,3.4182062247196625,0.45876422511175596,84000011,,-7.195676992674183,3.4182062247196625
random,miss,False,0.11850561448881891,"[0.028233729760144308, 0.11509316734369468]","[0.07970607557211111, 0.11650016551695574]",3.9000000000000004,4.129316338986688,0.4852955198944593,84000012,,-8.298924417839661,4.129316338986688
random,miss,False,0.11468178548974185,"[0.11362882196136634, -0.01550492640380071]","[0.22008503007500904, -0.04054536067529944]",1.6,1.7463359819698372,0.5251670912259332,84000013,,-7.5128785616840625,1.7463359819698372
random,miss,False,0.09334760515788561,"[0.09207405291975888, 0.015366983036430852]","[0.15021515928368853, -0.04164221451853107]",1.9000000000000001,2.1285628951326627,0.503706599125373,84000014,,-6.5374320446656835,2.1285628951326627
random,miss,False,0.12487662906451943,"[-0.09000458510595348, -0.08656412158869722]","[-0.1516225079693444, -0.16850134492154012]",1.6,1.802284475787695,0.5044787359576134,84000015,,-8.090928399175759,1.802284475787695
random,miss,False,0.15675507398681596,"[0.10503623477031371, -0.11635954024439804]","[0.1928969693047361, -0.16011156261753004]",2.6,2.835022308023903,0.4822413673184232,84000016,,-10.465894253399325,2.835022308023903
random,miss,False,0.08762853423203085,"[-0.08667035591960942, 0.012923212310506513]","[-0.11085637130143128, 0.03936867746767071]",3.5,3.7185359082762246,0.5187453673871734,84000017,,-6.692457990924073,3.7185359082762246
random,miss,False,0.10244341027270387,"[-0.09740187777737355, 0.031741558149264076]","[-0.13428897217522862, 0.023825118874060774]",3.4000000000000004,3.6237100292494526,0.4460432084371241,84000018,,-7.333941374745924,3.6237100292494526
random,miss,False,0.094674434661474,"[-0.045606374040056324, -0.08296569908937179]","[-0.048391530847336356, -0.14810084543813384]",3.2,3.4490307091333294,0.4770536342997455,84000019,,-6.921478953483955,3.4490307091333294
random,miss,False,0.13522316338165216,"[0.1305275039689575, 0.035325268896001044]","[0.18050292973679505, 0.015429487973030424]",3.3000000000000003,3.491150661495395,0.536512807848933,84000020,,-9.152882583417988,3.491150661495395
random,miss,False,0.16216545909686964,"[0.16123793253660215, 0.017319504479650548]","[0.25613875108858364, 0.0398028128971779]",1.2000000000000002,1.320748042287676,0.487717213472406,84000021,,-10.524292573751126,1.320748042287676
random,miss,False,0.7195978947111114,"[0.6936332263858813, 0.19155698193012008]","[0.8898725790928382, 0.24985346998716457]",0.2,0.3692373221426045,0.5293866626314709,84000022,,-16.05,0.3692373221426045
random,miss,False,0.1845911381386087,"[0.017451722851141133, -0.1837643209353597]","[0.06355828782222409, -0.21396809396363373]",3.1,3.2354800773259003,0.4932734077464076,84000023,,-12.839825628238323,3.2354800773259003
random,miss,False,0.35771640501287855,"[0.16600562957642512, 0.31686457259257067]","[0.21009755800424257, 0.3838935593723802]",0.2,0.40314441280709157,0.531461772769295,84000024,,-16.05,0.40314441280709157
random,miss,False,0.17509580465805344,"[0.14004432772067354, -0.10510055700192933]","[0.188962659627667, -0.13505499400470033]",1.8,1.928062499186319,0.5095119656044296,84000025,,-11.706459363041706,1.928062499186319
random,miss,False,0.8500009980523887,"[0.8362347164270945, -0.15235877307248782]","[0.9819384970837297, -0.15749201161018525]",0.2,0.31685695301056455,0.5348454014510529,84000026,,-16.05,0.31685695301056455
random,miss,False,0.09564845385343697,"[0.07254958466541168, -0.06233124809779861]","[0.10745642929229482, -0.14765127143607798]",1.4000000000000001,1.6295155767637093,0.48773426303513684,84000027,,-6.515355437764038,1.6295155767637093
random,hit,True,0.03525291248699453,"[0.021713491318093747, 0.02777214672283658]","[0.06952190846463718, 0.05948001699701895]",2.9000000000000004,3.0203579586906475,0.4517311791148684,84000028,,6.980853765960782,3.0203579586906475
