#{"t_start": 1788592621.5564365, "env_id": "None"}
r,l,t
-16.133778,3,1.584907
-16.03435,23,1.588937
-14.407332,7,1.588937
-11.622929,14,1.595091
-7.388562,18,1.595091
-16.08396,3,1.595091
-8.490713,29,1.605473
-12.332343,5,1.609442
-16.157314,4,1.609442
-16.132811,4,1.61153
-16.126579,3,1.61153
-13.774718,4,1.61153
-14.035849,3,1.61153
-16.169482,4,1.61153
-8.410082,33,1.615651
-16.246906,6,1.615651
-16.134527,3,1.615651
-16.161175,4,1.625745
-6.604645,18,1.625745
-16.158805,4,1.625745
-11.599396,27,1.637923
-16.160051,3,1.638966
-16.15687,3,1.638966
-9.61131,28,1.646132
-16.13402,3,1.656425
-16.15415,4,1.656425
-16.067395,3,1.656425
-8.873375,27,1.662441
-8.398986,27,1.670462
-16.135127,3,1.670462
-16.131988,3,1.672468
-16.136484,3,1.672468
-10.128731,25,1.676479
-6.427975,26,1.676479
-8.695013,24,1.689613
-16.070491,3,1.689613
5.534376,29,1.697312
-16.144632,3,1.697312
-7.064777,20,1.697312
-16.122959,3,1.697312
-9.984252,24,1.706966
-16.104514,4,1.711884
-16.191611,3,1.711884
-15.51198,3,1.711884
-16.205453,3,1.711884
-14.843428,4,1.711884
-10.194722,20,1.788992
-16.11448,3,1.788992
-11.790482,22,1.801409
-15.389233,5,1.803257
-16.11533,4,1.805494
-16.187622,3,1.807382
-16.18738,3,1.807382
-7.56899,22,1.812074
5.139704,33,1.819521
5.232318,30,1.829922
-16.164362,4,1.829922
-16.221286,4,1.829922
-10.371047,25,1.850146
-16.184596,3,1.850146
-16.192189,3,1.850146
-15.44981,3,1.850146
-16.192171,3,1.850146
-10.662418,22,1.860363
-16.081911,3,1.860363
-11.262699,20,1.870695
-7.80735,17,1.8824
-6.459047,26,1.891189
-9.6745,31,1.90168
-7.948722,21,1.903147
-16.22978,4,1.903147
-10.150834,15,1.913887
-16.13918,3,1.914394
-16.164417,4,1.915526
-16.129047,3,1.915526
-8.753762,30,1.923236
-16.170404,3,1.923236
-16.120022,3,1.923236
-16.157628,3,1.923236
-16.131475,3,1.932749
-6.872156,6,1.934757
-16.12015,3,1.936764
-16.207546,4,1.936764
-16.120834,3,1.94078
-16.077398,3,1.94078
-16.140754,3,1.942787
-6.600782,26,1.944792
-8.297459,27,1.953201
-16.102348,4,1.953201
-16.077526,3,1.963522
-8.753208,26,1.977778
6.322578,23,2.055542
-16.125806,3,2.055542
-16.145821,3,2.055542
-7.209048,28,2.065877
-16.194592,3,2.065877
-15.680443,6,2.065877
-11.395691,10,2.077991
-16.122549,3,2.077991
-7.242007,23,2.08764
-16.097581,3,2.08764
6.524716,26,2.096454
-6.56574,29,2.107268
-16.134294,3,2.107268
-11.261428,21,2.116591
-7.873194,34,2.130237
-16.089494,3,2.130237
-8.424741,26,2.137492
-16.354146,7,2.147798
-16.078498,3,2.147798
-9.320485,35,2.147798
-9.990005,26,2.158163
-10.422782,23,2.168482
-13.427661,5,2.168482
-16.116869,4,2.168482
-16.178059,4,2.168482
-16.146698,4,2.168482
-9.268001,29,2.178598
-6.963335,26,2.188694
-16.178907,4,2.188694
-9.665472,17,2.188694
-7.782401,15,2.199126
-10.124067,28,2.199126
-10.13457,27,2.21276
-16.154849,4,2.21276
-16.080397,3,2.21276
-16.141978,3,2.219923
6.2819,28,2.304762
-8.961621,4,2.305269
-8.554696,16,2.309291
-6.661876,28,2.313043
-16.113989,3,2.313043
6.418752,20,2.322659
-16.122409,3,2.322659
-12.725804,22,2.332909
-16.135041,3,2.332909
-16.077921,3,2.332909
-6.903092,20,2.352777
-10.083111,18,2.36235
-16.095854,3,2.36436
-7.700657,21,2.37468
-16.097604,3,2.37468
-16.073421,3,2.37468
6.52658,30,2.384941
-16.127702,3,2.384941
-16.090259,3,2.384941
-10.962809,23,2.395013
-6.925269,15,2.395013
-16.118823,4,2.395013
-16.198993,3,2.395013
-16.115318,3,2.395013
-16.05895,3,2.405229
-8.542625,25,2.415359
-16.110455,3,2.417467
-16.093781,3,2.417467
-6.462076,12,2.425829
-16.105952,3,2.425829
-8.260302,29,2.446318
-16.078748,3,2.446318
-9.057674,6,2.446318
-13.29363,4,2.446318
-16.155638,4,2.456544
-16.078593,3,2.456544
-9.10682,19,2.456544
6.215111,38,2.467072
-10.666796,5,2.467072
-16.133578,3,2.477304
-8.662053,21,2.478799
-6.849558,29,2.487545
-16.190255,3,2.487545
-16.078079,3,2.487545
-8.498771,28,2.580081
-8.190007,18,2.580081
-16.188437,4,2.580081
-16.126355,3,2.590326
-7.276945,26,2.600535
7.172304,14,2.613883
-8.316266,27,2.62136
-16.106957,4,2.627079
-11.666845,4,2.627079
-7.764523,25,2.631785
-7.940733,32,2.65243
-6.316121,15,2.662872
-8.059763,18,2.662872
6.095983,43,2.68363
-7.053293,23,2.68363
-16.154448,4,2.68363
-16.123839,3,2.68363
-10.96971,25,2.699522
-16.125854,3,2.699522
-9.61527,24,2.704594
5.535457,37,2.719665
-9.67089,20,2.725117
-17.069734,22,2.735369
-7.732517,30,2.745733
-7.987769,30,2.745733
-6.813393,24,2.755851
-16.201606,4,2.755851
-15.94816,3,2.755851
-16.131256,3,2.755851
-16.13526,3,2.766078
-8.834904,27,2.838197
-16.157243,5,2.838197
-16.09173,3,2.848596
-16.137909,3,2.849468
-9.486174,29,2.858695
-9.961283,22,2.86887
-16.077357,3,2.86887
-8.935945,40,2.8792
-13.206814,25,2.889478
-7.649476,23,2.899902
-16.109678,3,2.899902
-14.266663,25,2.899902
-16.065103,3,2.910137
-16.149209,4,2.910137
-16.19601,3,2.910137
-16.150046,3,2.910137
-6.231862,33,2.921203
-6.995838,14,2.932823
-8.551245,18,2.940643
-12.30135,28,2.95065
6.118888,25,2.963534
-12.118338,18,2.971806
-16.135419,3,2.971806
-16.083681,3,2.971806
-7.245722,34,2.982363
-6.774088,9,2.982363
-6.607858,20,2.992804
6.717697,22,3.014283
-16.134875,3,3.014283
-16.137311,3,3.014283
5.82785,29,3.023794
-12.344306,18,3.023794
-8.683111,19,3.034076
-16.109962,4,3.034076
-7.930509,30,3.126517
-16.166016,5,3.126517
-16.140874,3,3.126517
6.661544,18,3.126517
-16.186265,3,3.136943
-16.121352,3,3.136943
-6.244518,23,3.147185
-11.900457,27,3.163944
-9.813678,19,3.16769
-16.080738,3,3.16769
-6.208926,21,3.182379
-12.512336,22,3.188106
-15.138993,9,3.19127
-8.16599,16,3.19528
-16.12843,4,3.197284
-7.205496,32,3.200292
-7.508416,23,3.214701
-9.449746,17,3.22184
-16.099187,3,3.225329
-7.983825,25,3.229162
-16.077698,3,3.229162
-9.799711,17,3.239659
-8.318407,20,3.239659
5.68553,37,3.260294
-8.354554,38,3.282261
-7.64236,21,3.292289
-12.501376,26,3.302347
-16.132371,3,3.302347
-7.07269,34,3.332628
-16.174944,5,3.332628
-16.139434,3,3.332628
-7.795338,28,3.454595
5.994969,21,3.476099
-14.416384,4,3.476099
-5.923122,20,3.481872
-8.510855,15,3.488028
-11.620552,14,3.488028
-7.168439,26,3.501413
-6.605278,27,3.510968
5.904572,31,3.52271
-16.243284,4,3.52271
-10.915287,10,3.526594
-16.142446,3,3.526594
5.790339,33,3.536699
5.499206,40,3.566807
-7.638595,28,3.576627
-6.227854,10,3.586935
-9.239035,25,3.607685
-6.855455,31,3.614946
-8.625309,20,3.622118
-16.195622,4,3.622118
-10.390821,6,3.622118
-16.081718,3,3.622118
-10.032892,31,3.628305
-9.735742,17,3.638816
6.17774,26,3.649215
6.172329,26,3.649215
-11.190287,16,3.744669
-16.062104,3,3.744669
-8.871182,15,3.752766
-6.527086,18,3.752766
6.154338,43,3.773267
-16.091527,3,3.773267
-8.636398,11,3.783778
-16.135465,4,3.783778
-8.265609,25,3.794011
-7.723836,25,3.803505
-14.282953,26,3.815332
-9.321447,16,3.823967
-6.040063,21,3.823967
6.552157,19,3.834105
-16.068102,3,3.834105
-16.085838,3,3.834105
-6.325333,30,3.856612
-8.601525,29,3.866007
-16.086973,3,3.874657
-16.195152,5,3.874657
-6.984091,26,3.895507
-16.12291,4,3.905719
-16.083695,3,3.905719
-16.084561,3,3.905719
6.344236,33,3.936037
-16.112337,4,3.939476
-9.206004,30,3.947949
-7.620577,20,3.947949
6.401356,38,3.964072
-10.134753,13,3.97702
-9.540371,18,3.97702
-7.113238,18,4.092514
-7.835553,24,4.100054
-6.651967,21,4.100054
-7.307532,20,4.110506
-8.085696,21,4.116238
-10.420003,5,4.120768
-8.6262,27,4.128845
-16.169929,4,4.130855
-8.801188,29,4.141164
-11.091522,21,4.141164
-16.07203,3,4.141164
-7.828864,37,4.161845
-12.222124,8,4.161845
-10.412772,28,4.182369
-16.141755,3,4.182369
4.965247,51,4.202638
6.463133,36,4.223241
-8.627492,36,4.233444
-16.07909,3,4.233444
6.096745,33,4.244514
-16.135858,4,4.244514
6.569188,31,4.253925
-9.41348,34,4.268638
-16.171369,3,4.268638
-16.155186,4,4.268638
-9.021324,31,4.356678
5.889206,35,4.37513
-7.755702,28,4.391631
-12.214418,16,4.395644
-9.574719,31,4.408057
-7.467313,18,4.418509
-16.141603,3,4.418509
-6.391133,13,4.418509
6.517332,33,4.43633
6.86355,29,4.4485
6.222221,30,4.458782
-7.969347,26,4.468342
-5.913025,16,4.468342
-16.151799,4,4.468342
-9.264745,26,4.480134
6.366214,34,4.489016
6.597096,39,4.499486
-7.191967,36,4.509996
-12.73432,16,4.520446
-12.154998,9,4.520446
-7.568584,37,4.544663
6.433234,29,4.619215
5.355331,45,4.644574
-6.803159,31,4.652764
-16.074646,3,4.652764
-7.074782,31,4.663242
-7.00215,32,4.673728
-16.145617,5,4.673728
-6.897171,24,4.684002
5.653665,41,4.69434
-7.247663,37,4.707921
-6.271057,22,4.717337
-7.106457,49,4.725013
-10.942949,13,4.737675
-16.074112,3,4.73905
-8.308499,7,4.742265
-6.803878,34,4.745849
-7.21827,27,4.756191
6.23511,37,4.766411
-6.100478,15,4.766411
5.600538,47,4.797417
6.175877,38,4.920399
5.12696,54,4.951077
7.087362,27,4.961396
6.860697,29,4.971597
-10.933541,22,4.98214
-16.075822,3,4.98214
-7.524777,19,4.98214
6.488572,34,4.993597
-16.098717,3,5.002278
-9.099833,24,5.002278
6.336334,21,5.012437
-7.923633,23,5.017519
-6.932471,29,5.033326
5.697091,39,5.043857
5.879227,55,5.06471
-16.084962,3,5.06471
-16.11564,4,5.06471
-6.38958,30,5.074904
-6.507168,23,5.074904
-11.393081,17,5.085236
-17.114371,26,5.17882
-7.084854,31,5.187461
-16.157306,4,5.197793
