policy,outcome,hit,error_m,landing_xy,release_xy,decision_s,release_s,fall_s,seed,blocked_reason,return,episode_s
random,miss,False,0.1599169498257674,"[0.06511246173255401, -0.14606093991448807]","[0.03397911808726671, -0.08395476154278411]",7.1000000000000005,7.203663482590196,0.5358393828934732,81000000,,-8.932213684145307,7.203663482590196
random,miss,False,0.24783291822277653,"[-0.07416077455364796, -0.23647692249439572]","[-0.04078210358317998, -0.24926310436576188]",2.5,2.6438033967984422,0.49173703547866043,81000001,,-12.207858685779932,2.6438033967984422
random,hit,True,0.07515505149029389,"[0.07254638887040882, -0.019629142272961142]","[0.15150998684874434, -0.07238725380454364]",3.5,3.591276421997815,0.44545741547900225,81000002,,6.427681263640897,3.591276421997815
random,miss,False,0.17084471588129777,"[0.10341234871338803, -0.13599192284154962]","[0.10041142534117833, -0.08761833464517113]",3.7,3.8241800568217768,0.5134467064685412,81000003,,-8.5284465363656,3.8241800568217768
random,miss,False,0.1888365314874521,"[0.041184537507745346, 0.18429072004440322]","[0.047383614576784146, 0.21460670144472754]",2.8000000000000003,3.0105183012894234,0.4901686054478337,81000004,,-9.102374768421173,3.0105183012894234
random,miss,False,0.09843657621535366,"[-0.09300380973206995, 0.03224982034557808]","[-0.21318864232277163, -0.05944728121550294]",2.0,2.136438163037561,0.5209784865653379,81000005,,-5.696266609506313,2.136438163037561
random,hit,True,0.06292747912065431,"[0.052095402883234276, 0.03529782750983254]","[-0.008107750004805736, 0.1788608391157582]",1.2000000000000002,1.3000853063583524,0.4910366133580696,81000006,,7.211127453274027,1.3000853063583524
random,miss,False,0.09898334500228448,"[0.03386067879730012, -0.09301159615460508]","[0.06382596783298199, -0.02431741544822897]",4.0,4.225759016624555,0.5130993410693091,81000007,,-6.20959291207917,4.225759016624555
random,miss,False,0.7853148228706069,"[0.5786941026494573, -0.5308789942906312]","[0.7304741668519769, -0.571511760022753]",0.30000000000000004,0.3470374684095975,0.5141639556165388,81000008,,-16.075,0.3470374684095975
random,miss,False,0.23133111137728024,"[-0.08662091081206935, -0.21450151724669725]","[-0.10491172838502427, -0.25109718193446756]",1.8,1.878088983210257,0.4812686838172966,81000009,,-11.056676924820696,1.878088983210257
random,hit,True,0.03843540401077238,"[-0.03622474047652413, -0.012847118699528398]","[0.1382214117992946, -0.08775024668317591]",2.5,2.7200884429075094,0.5223798234965794,81000010,,7.192619718336877,2.7200884429075094
random,miss,False,0.23144772492232185,"[-0.17625304558567914, -0.15000971066398092]","[-0.13697485598495387, -0.028586219941286378]",3.4000000000000004,3.7195553992937023,0.5223369523254958,81000011,,-11.463339428607254,3.7195553992937023
random,hit,True,0.05081147587883974,"[-0.010509430650944424, 0.04971275438334616]","[0.01024039842200633, 0.16759539421705166]",1.6,1.7165022105666425,0.4777060345155441,81000012,,7.281258508520257,1.7165022105666425
random,miss,False,0.21179851311935988,"[0.20368593823738007, -0.0580572882929426]","[0.27189055219533215, 0.0016121066501058627]",2.8000000000000003,2.8570523193279174,0.5053902624635271,81000013,,-10.238100019700207,2.8570523193279174
random,miss,False,0.35258259381787627,"[0.24842019569120455, 0.2502037006842328]","[0.26665084138630724, 0.3156389306055194]",1.7000000000000002,1.80161006004256,0.44316401183713566,81000014,,-16.425,1.80161006004256
random,miss,False,0.21077821530234933,"[0.20175363481641323, -0.061015792090317905]","[0.20700558470395086, -0.12570075076445028]",1.5,1.551318350772432,0.48139262675637484,81000015,,-9.859871116795498,1.551318350772432
random,miss,False,0.8491340938613279,"[0.46207394274675895, 0.7124018394081836]","[0.5416827568116873, 0.7810040686567613]",0.8,1.0297294418499758,0.47778780174689467,81000016,,-16.2,1.0297294418499758
random,miss,False,0.15342801597893013,"[0.07198741793953314, 0.1354915781354318]","[0.013897104226154332, 0.20548784583984492]",1.9000000000000001,2.0047244635148465,0.4624392638686638,81000017,,-7.381192109534672,2.0047244635148465
random,miss,False,0.13755177989065198,"[-0.029119685309006722, 0.1344341328628663]","[0.016280177249178233, 0.06497203796011428]",4.4,4.590070525794209,0.4478821007925573,81000018,,-7.435863228529181,4.590070525794209
random,miss,False,0.4787995214410058,"[-0.2125866040043118, 0.42901738604635836]","[-0.31374287621457403, 0.47214380384162363]",0.8,1.0616896429849818,0.5343498482480691,81000019,,-16.2,1.0616896429849818
random,miss,False,0.27851629087329693,"[-0.24981187331170707, -0.12314768464861434]","[-0.3058109743691365, -0.1474021515327645]",2.3000000000000003,2.358135346965811,0.4435096857419302,81000020,,-14.15170670145913,2.358135346965811
random,miss,False,0.2970431789494457,"[0.18534910987785327, -0.23212142862708712]","[0.22217092226724824, -0.23675961655697847]",3.2,3.409854685730265,0.4940088378805661,81000021,,-15.693166686468203,3.409854685730265
random,miss,False,0.0976750709647656,"[-0.05012885902997864, -0.08383028677229087]","[-0.07416302068667578, -0.049427533024698045]",2.7,2.74728138705374,0.5068610848856087,81000022,,-5.852829566416297,2.74728138705374
random,miss,False,0.27190658044466187,"[0.23782776408380563, 0.13179963247295898]","[0.2959325835236842, 0.10801954938252786]",3.2,3.4936283908137455,0.5315283792632247,81000023,,-13.92755413445795,3.4936283908137455
random,miss,False,0.3698013463211099,"[-0.3551007635612714, 0.10323024488543792]","[-0.4161292312045438, 0.1653148960928451]",1.6,1.8397342330135833,0.47401079485001285,81000024,,-16.4,1.8397342330135833
random,miss,False,0.20410792606757142,"[-0.17278564516584596, -0.10865158217084356]","[-0.2258500565312516, -0.14573672203020838]",2.0,2.1535028287535716,0.4486512699940406,81000025,,-9.643215491803112,2.1535028287535716
random,miss,False,0.22750595287454162,"[0.12491806965407246, 0.19014319463828688]","[0.23542987972057086, 0.18258961001912277]",3.1,3.299410374226547,0.515105795544312,81000026,,-11.164994888068291,3.299410374226547
random,miss,False,0.2119255439674364,"[0.18088410908010702, 0.11042361734787431]","[0.12914996144776472, 0.0923320194123114]",4.4,4.567319301546693,0.5222591906424868,81000027,,-10.64474520813504,4.567319301546693
random,miss,False,0.8665978242258325,"[0.5129309323637316, -0.6984938421900511]","[0.5636770895010172, -0.8963810292807787]",0.30000000000000004,0.4460241180179011,0.4646690796887429,81000028,,-16.075,0.4460241180179011
random,miss,False,0.25582931775254125,"[-0.17040344984741726, 0.1908174627800859]","[-0.15147275153957937, 0.19417831506970482]",2.1,2.1463920930948124,0.4801473187867891,81000029,,-12.605078990337125,2.1463920930948124
random,miss,False,0.26408492092978303,"[-0.21016131474716643, -0.15991581299618934]","[-0.21165026092710165, -0.1649953600730087]",2.9000000000000004,3.0933775121133613,0.47391046606086484,81000030,,-13.334980921295031,3.0933775121133613
random,miss,False,0.8523752040908302,"[-0.28836536997746426, -0.8021152672444557]","[-0.427488396863771, -0.8281721851390146]",0.30000000000000004,0.4165272946054566,0.49402021185286427,81000031,,-16.075,0.4165272946054566
random,miss,False,0.1475908844827813,"[-0.036857738174254355, 0.14291457699999607]","[-0.004871460222152173, 0.1842927163103748]",3.3000000000000003,3.5368339573986196,0.47928040650829135,81000032,,-7.514267800297493,3.5368339573986196
random,miss,False,0.14324310719798342,"[-0.13540588346471122, 0.046731514878869604]","[-0.1371015946560727, 0.04331149638197328]",4.2,4.3227151153637955,0.4757066810551942,81000033,,-7.5831589826830825,4.3227151153637955
random,miss,False,0.18957728226373552,"[-0.15866243438967811, 0.10375826648535111]","[-0.17140536431065104, 0.1594033344839105]",3.1,3.1450802344661186,0.48857732141233695,81000034,,-9.21198098154371,3.1450802344661186
random,miss,False,0.14970225659197858,"[-0.09862659918697099, 0.11262131042366347]","[-0.15863964442999057, 0.27271996783067703]",0.30000000000000004,0.6172020246818695,0.483135972568772,81000035,,-6.841761188732173,0.6172020246818695
random,miss,False,0.10310493867728683,"[0.10056425470116936, 0.022747726392881834]","[0.17653190162332333, -0.06498442993276207]",3.4000000000000004,3.582112044277282,0.5124318890342244,81000036,,-6.162423256746553,3.582112044277282
